catalogue,site,publisher,licence,status
app.bookteq.com,https://shikogroupltd.bookteq.com/api/open-active,Courts Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://shirleyhighschool.bookteq.com/api/open-active,Shirley High School,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://southwarkcouncil.bookteq.com/api/open-active,Southwark Council,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://spaldingunitedfootballclub.bookteq.com/api/open-active,Spalding United Football Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://sportsiq.bookteq.com/api/open-active,Sports IQ LTD,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://stanleyprimaryschool.bookteq.com/api/open-active,Stanley Primary School,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://stcuthbertmayneschool.bookteq.com/api/open-active,St Cuthbert Mayne School,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://stgeorgesschool.bookteq.com/api/open-active,"St George's School, Harpenden",https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://stoweenterprisesltd.bookteq.com/api/open-active,Stowe Enterprises Ltd,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://strikersindoorsports.bookteq.com/api/open-active,Strikers Indoor Football,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://sunburycricketclub.bookteq.com/api/open-active,Sunbury Cricket Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://theblackprincetrust.bookteq.com/api/open-active,The Black Prince Trust ,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://thedownsidesettlement.bookteq.com/api/open-active,The Downside Settlement,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://thesportswarehouseltd.bookteq.com/api/open-active,The Sports Warehouse (Flint) LTD,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://thewoodroffeschool.bookteq.com/api/open-active,The Woodroffe School,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://topcic.bookteq.com/api/open-active,100% TO THE TOP CIC,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://walthamforestcouncil.bookteq.com/api/open-active,Waltham Forest Council,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://waspsfootballclub.bookteq.com/api/open-active,Wasps FC - Rugby in West London,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://waterliliesswimmingschool.bookteq.com/api/open-active,Water Lilies Swimming School Ltd,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://wellscathedral.bookteq.com/api/open-active,Wells Cathedral School,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://westheathprimaryschool.bookteq.com/api/open-active,West Heath Primary School,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://woolmerhillsportspark.bookteq.com/api/open-active,Woolmer Hill Sports Association,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://wycliffecollege.bookteq.com/api/open-active,Wycliffe College,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://wymondhamtownunitedfc.bookteq.com/api/open-active,Wymondham Town United FC,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://ymcahumber.bookteq.com/api/open-active,,,ERROR_HTTP_404
